date;categorie;montant_ht;tva_20pct;montant_ttc;justificatif;statut
14/04/2022;Taxi/VTC;8000,00;1600,00;9600,00;photo floue;en attente
16/05/2022;Informatique;1676,99;335,40;2012,39;photo floue;valide
13/05/2022;Formation;50,99;10,20;61,19;oui;valide
04/02/2023;Deplacement;300,50;60,10;360,60;perdu;valide
06/08/2023;Restaurant;1200,00;240,00;1440,00;oui;rejete
04/09/2023;Deplacement;9999,00;1999,80;11998,80;perdu;valide
25/05/2023;Transport;400,00;80,00;480,00;oui;en attente
18/02/2022;Hotel;1461,00;292,20;1753,20;non;valide
21/03/2023;Telecom;350,00;70,00;420,00;perdu;valide
15/11/2022;Taxi/VTC;95,99;19,20;115,19;oui;valide
21/02/2022;Restaurant;2000,00;400,00;2400,00;photo floue;rejete
21/10/2023;Telecom;650,50;130,10;780,60;photo floue;en attente
22/10/2023;Hotel;450,00;90,00;540,00;non;rejete
27/09/2022;Representation;950,00;190,00;1140,00;perdu;en attente
17/07/2023;Transport;8500,50;1700,10;10200,60;oui;valide
04/09/2023;Representation;250,00;50,00;300,00;oui;en attente
31/01/2022;Taxi/VTC;7500,00;1500,00;9000,00;perdu;en attente
06/07/2023;Telecom;4500,00;900,00;5400,00;perdu;valide
18/05/2023;Transport;100,00;20,00;120,00;perdu;en attente
28/01/2023;Transport;796,00;159,20;955,20;non;rejete
26/08/2022;Hotel;900,99;180,20;1081,19;photo floue;en attente
27/10/2023;Informatique;3609,50;721,90;4331,40;perdu;en attente
24/02/2022;Telecom;175,50;35,10;210,60;non;en attente
03/12/2023;Restaurant;7000,50;1400,10;8400,60;photo floue;rejete
01/11/2023;Transport;500,00;100,00;600,00;non;en attente
25/12/2022;Deplacement;900,00;180,00;1080,00;photo floue;valide
10/02/2023;Hotel;8500,99;1700,20;10201,19;perdu;valide
31/03/2023;Formation;922,99;184,60;1107,59;photo floue;valide
02/09/2022;Hotel;700,00;140,00;840,00;photo floue;rejete
09/07/2022;Representation;2500,00;500,00;3000,00;non;rejete
15/03/2023;Telecom;3000,99;600,20;3601,19;oui;en attente
22/11/2023;Transport;700,00;140,00;840,00;oui;en attente
14/06/2023;Taxi/VTC;200,00;40,00;240,00;oui;rejete
07/03/2022;Telecom;750,50;150,10;900,60;non;valide
16/05/2023;Informatique;3000,00;600,00;3600,00;oui;en attente
21/09/2022;Hotel;750,00;150,00;900,00;oui;rejete
08/03/2022;Hotel;350,00;70,00;420,00;photo floue;rejete
11/02/2022;Telecom;3778,99;755,80;4534,79;photo floue;valide
07/12/2022;Hotel;4357,00;871,40;5228,40;perdu;en attente
01/04/2023;Hotel;350,00;70,00;420,00;photo floue;rejete
20/11/2022;Informatique;400,99;80,20;481,19;perdu;valide
05/02/2022;Informatique;700,00;140,00;840,00;photo floue;valide
15/08/2022;Taxi/VTC;3500,00;700,00;4200,00;perdu;valide
04/10/2023;Taxi/VTC;5500,00;1100,00;6600,00;photo floue;en attente
08/02/2023;Fournitures;600,00;120,00;720,00;photo floue;valide
20/09/2023;Representation;3335,00;667,00;4002,00;non;valide
31/03/2023;Restaurant;800,50;160,10;960,60;perdu;rejete
01/09/2022;Taxi/VTC;350,99;70,20;421,19;photo floue;rejete
22/04/2023;Hotel;1000,00;200,00;1200,00;non;valide
08/11/2022;Informatique;250,00;50,00;300,00;photo floue;valide
20/07/2022;Transport;1800,00;360,00;2160,00;perdu;valide
16/07/2022;Representation;4500,99;900,20;5401,19;photo floue;valide
15/06/2022;Transport;650,50;130,10;780,60;perdu;valide
28/06/2022;Hotel;700,00;140,00;840,00;photo floue;en attente
13/09/2023;Transport;1000,00;200,00;1200,00;non;rejete
11/11/2022;Hotel;300,00;60,00;360,00;non;en attente
24/01/2022;Transport;4500,00;900,00;5400,00;photo floue;en attente
07/08/2023;Formation;1500,00;300,00;1800,00;non;valide
02/06/2023;Taxi/VTC;2500,50;500,10;3000,60;non;rejete
27/06/2023;Representation;6000,00;1200,00;7200,00;non;valide
06/10/2023;Telecom;1172,00;234,40;1406,40;non;rejete
16/11/2023;Restaurant;5000,50;1000,10;6000,60;photo floue;valide
19/03/2023;Deplacement;450,50;90,10;540,60;oui;en attente
05/06/2022;Fournitures;500,00;100,00;600,00;non;valide
06/11/2022;Restaurant;150,00;30,00;180,00;photo floue;valide
12/07/2023;Transport;950,00;190,00;1140,00;perdu;valide
11/05/2022;Telecom;250,00;50,00;300,00;photo floue;rejete
07/05/2023;Telecom;1153,50;230,70;1384,20;perdu;en attente
21/12/2023;Hotel;700,99;140,20;841,19;perdu;en attente
22/12/2022;Representation;175,00;35,00;210,00;perdu;en attente
27/10/2023;Telecom;350,00;70,00;420,00;perdu;valide
16/07/2023;Telecom;7000,50;1400,10;8400,60;non;rejete
10/08/2023;Formation;300,00;60,00;360,00;perdu;en attente
25/12/2023;Deplacement;3000,50;600,10;3600,60;non;en attente
06/09/2023;Taxi/VTC;450,00;90,00;540,00;perdu;en attente
23/04/2023;Representation;3500,00;700,00;4200,00;perdu;en attente
05/10/2022;Restaurant;500,00;100,00;600,00;non;en attente
05/09/2022;Transport;2500,99;500,20;3001,19;non;valide
26/01/2023;Fournitures;1000,00;200,00;1200,00;photo floue;en attente
25/03/2023;Informatique;120,00;24,00;144,00;perdu;valide
14/04/2023;Informatique;800,00;160,00;960,00;photo floue;rejete
15/03/2023;Restaurant;250,00;50,00;300,00;non;valide
29/09/2023;Deplacement;9000,50;1800,10;10800,60;perdu;valide
16/03/2022;Taxi/VTC;3000,99;600,20;3601,19;photo floue;rejete
06/02/2023;Telecom;400,00;80,00;480,00;non;rejete
25/11/2023;Representation;400,00;80,00;480,00;non;rejete
06/07/2023;Fournitures;900,00;180,00;1080,00;photo floue;en attente
12/10/2023;Transport;120,99;24,20;145,19;non;en attente
22/01/2022;Hotel;9000,00;1800,00;10800,00;perdu;rejete
14/12/2022;Representation;1800,00;360,00;2160,00;oui;valide
09/09/2022;Taxi/VTC;2683,50;536,70;3220,20;photo floue;rejete
08/05/2023;Fournitures;650,00;130,00;780,00;perdu;rejete
14/04/2023;Telecom;1500,00;300,00;1800,00;photo floue;rejete
20/02/2022;Hotel;250,50;50,10;300,60;perdu;en attente
03/08/2022;Telecom;400,00;80,00;480,00;non;valide
20/08/2023;Representation;500,00;100,00;600,00;photo floue;en attente
11/10/2023;Taxi/VTC;723,50;144,70;868,20;non;rejete
12/12/2022;Transport;9000,00;1800,00;10800,00;non;rejete
15/11/2022;Formation;100,00;20,00;120,00;photo floue;rejete
19/08/2022;Transport;3668,00;733,60;4401,60;perdu;rejete
24/03/2023;Representation;90,00;18,00;108,00;perdu;en attente
13/12/2023;Hotel;80,50;16,10;96,60;oui;en attente
25/10/2023;Hotel;150,00;30,00;180,00;non;en attente
07/02/2022;Taxi/VTC;500,00;100,00;600,00;oui;rejete
18/06/2022;Taxi/VTC;1000,00;200,00;1200,00;photo floue;rejete
28/04/2022;Telecom;2500,50;500,10;3000,60;photo floue;valide
08/11/2023;Telecom;4500,00;900,00;5400,00;oui;valide
24/05/2022;Telecom;450,99;90,20;541,19;non;valide
02/10/2023;Taxi/VTC;9500,99;1900,20;11401,19;perdu;valide
07/01/2023;Taxi/VTC;3000,00;600,00;3600,00;oui;valide
21/12/2023;Deplacement;315,99;63,20;379,19;perdu;valide
12/01/2023;Deplacement;950,00;190,00;1140,00;perdu;en attente
17/03/2022;Representation;800,00;160,00;960,00;oui;valide
18/12/2023;Hotel;3401,00;680,20;4081,20;oui;rejete
17/12/2023;Taxi/VTC;1450,00;290,00;1740,00;non;rejete
06/03/2022;Representation;600,99;120,20;721,19;photo floue;valide
25/02/2023;Hotel;900,00;180,00;1080,00;photo floue;en attente
29/09/2023;Hotel;2500,00;500,00;3000,00;perdu;rejete
13/08/2023;Deplacement;4279,50;855,90;5135,40;perdu;valide
19/11/2022;Taxi/VTC;5500,50;1100,10;6600,60;oui;valide
29/08/2022;Telecom;2232,00;446,40;2678,40;photo floue;en attente
15/10/2022;Informatique;1000,50;200,10;1200,60;oui;rejete
07/05/2023;Deplacement;3000,00;600,00;3600,00;photo floue;valide
08/10/2022;Telecom;200,99;40,20;241,19;non;valide
16/10/2022;Hotel;8000,00;1600,00;9600,00;perdu;valide
10/09/2022;Informatique;3780,00;756,00;4536,00;oui;rejete
05/02/2022;Formation;5000,99;1000,20;6001,19;perdu;valide
14/03/2022;Fournitures;1000,00;200,00;1200,00;non;valide
18/11/2022;Transport;3000,00;600,00;3600,00;non;en attente
05/04/2023;Hotel;7500,00;1500,00;9000,00;non;valide
16/08/2022;Fournitures;50,99;10,20;61,19;photo floue;en attente
27/02/2022;Transport;2757,00;551,40;3308,40;non;en attente
26/05/2022;Taxi/VTC;95,00;19,00;114,00;photo floue;rejete
22/06/2022;Representation;5000,00;1000,00;6000,00;oui;rejete
21/07/2023;Transport;350,99;70,20;421,19;oui;valide
24/06/2023;Hotel;900,50;180,10;1080,60;perdu;valide
11/12/2023;Formation;969,00;193,80;1162,80;perdu;valide
14/08/2023;Formation;650,50;130,10;780,60;oui;rejete
27/05/2023;Transport;550,50;110,10;660,60;oui;en attente
05/07/2023;Transport;900,50;180,10;1080,60;photo floue;rejete
22/08/2023;Fournitures;1118,50;223,70;1342,20;photo floue;rejete
24/01/2022;Informatique;1876,00;375,20;2251,20;non;en attente
25/12/2023;Telecom;3547,00;709,40;4256,40;photo floue;en attente
19/07/2023;Taxi/VTC;750,00;150,00;900,00;photo floue;en attente
22/06/2023;Hotel;400,00;80,00;480,00;non;valide
24/11/2023;Fournitures;5000,50;1000,10;6000,60;non;rejete
13/11/2023;Hotel;1200,00;240,00;1440,00;oui;valide
28/10/2023;Informatique;800,99;160,20;961,19;perdu;rejete
05/07/2022;Fournitures;4250,00;850,00;5100,00;oui;en attente
06/01/2022;Hotel;4000,00;800,00;4800,00;photo floue;valide
10/11/2023;Representation;175,00;35,00;210,00;perdu;rejete
18/06/2023;Fournitures;600,00;120,00;720,00;photo floue;rejete
01/11/2023;Restaurant;550,00;110,00;660,00;oui;rejete
15/03/2022;Restaurant;150,99;30,20;181,19;non;valide
16/04/2023;Deplacement;4362,50;872,50;5235,00;oui;valide
06/10/2022;Fournitures;650,00;130,00;780,00;non;rejete
15/04/2023;Taxi/VTC;1961,99;392,40;2354,39;photo floue;valide
27/05/2023;Restaurant;500,00;100,00;600,00;oui;en attente
18/05/2022;Fournitures;90,00;18,00;108,00;perdu;rejete
08/01/2023;Informatique;9500,00;1900,00;11400,00;oui;valide
09/06/2023;Representation;650,00;130,00;780,00;perdu;rejete
29/07/2023;Taxi/VTC;3500,00;700,00;4200,00;non;en attente
11/03/2023;Telecom;700,99;140,20;841,19;perdu;en attente
22/07/2023;Telecom;1029,99;206,00;1235,99;non;rejete
21/10/2022;Fournitures;4243,00;848,60;5091,60;oui;valide
21/11/2023;Transport;3126,00;625,20;3751,20;perdu;rejete
31/12/2022;Hotel;2500,99;500,20;3001,19;oui;en attente
27/03/2023;Hotel;3736,00;747,20;4483,20;non;rejete
03/07/2022;Taxi/VTC;400,00;80,00;480,00;oui;rejete
02/05/2022;Restaurant;4683,99;936,80;5620,79;non;en attente
05/05/2023;Restaurant;7500,99;1500,20;9001,19;photo floue;en attente
31/08/2022;Transport;250,00;50,00;300,00;oui;en attente
19/07/2023;Representation;4590,00;918,00;5508,00;oui;en attente
21/06/2023;Transport;5000,50;1000,10;6000,60;photo floue;en attente
19/01/2022;Restaurant;100,50;20,10;120,60;photo floue;valide
31/10/2022;Taxi/VTC;9000,99;1800,20;10801,19;oui;en attente
05/04/2022;Telecom;850,00;170,00;1020,00;non;en attente
11/03/2023;Telecom;500,00;100,00;600,00;perdu;rejete
15/04/2022;Taxi/VTC;700,00;140,00;840,00;oui;en attente
21/11/2022;Hotel;500,00;100,00;600,00;photo floue;rejete
21/02/2023;Hotel;90,00;18,00;108,00;photo floue;rejete
16/01/2023;Telecom;600,50;120,10;720,60;photo floue;valide
10/10/2022;Representation;2500,00;500,00;3000,00;perdu;valide
16/12/2022;Taxi/VTC;400,50;80,10;480,60;photo floue;rejete
07/12/2022;Restaurant;350,00;70,00;420,00;oui;valide
20/05/2022;Telecom;150,00;30,00;180,00;perdu;valide
17/04/2022;Fournitures;250,50;50,10;300,60;non;rejete
16/07/2022;Hotel;650,00;130,00;780,00;photo floue;en attente
23/09/2022;Fournitures;4596,00;919,20;5515,20;non;en attente
06/05/2022;Fournitures;2500,00;500,00;3000,00;non;rejete
25/08/2022;Telecom;633,99;126,80;760,79;non;en attente
01/05/2022;Representation;7000,00;1400,00;8400,00;perdu;valide
17/12/2022;Restaurant;4684,00;936,80;5620,80;perdu;rejete
23/04/2023;Informatique;650,00;130,00;780,00;perdu;rejete
25/07/2022;Hotel;800,00;160,00;960,00;perdu;en attente
23/05/2022;Transport;750,00;150,00;900,00;non;rejete
25/06/2023;Informatique;8000,00;1600,00;9600,00;perdu;rejete
18/09/2022;Deplacement;4428,99;885,80;5314,79;perdu;rejete
19/01/2023;Deplacement;4500,50;900,10;5400,60;oui;valide
09/05/2022;Telecom;2000,00;400,00;2400,00;non;valide
26/08/2022;Telecom;7000,99;1400,20;8401,19;oui;valide
25/04/2022;Representation;1264,00;252,80;1516,80;photo floue;rejete
06/02/2022;Representation;400,00;80,00;480,00;oui;en attente
06/04/2022;Informatique;2174,50;434,90;2609,40;photo floue;en attente
19/01/2022;Informatique;90,00;18,00;108,00;perdu;rejete
04/05/2023;Deplacement;4148,00;829,60;4977,60;perdu;rejete
08/04/2023;Formation;600,00;120,00;720,00;perdu;rejete
22/01/2022;Informatique;453,00;90,60;543,60;non;en attente
10/06/2023;Restaurant;2500,00;500,00;3000,00;non;en attente
22/09/2023;Formation;2500,00;500,00;3000,00;photo floue;rejete
29/10/2022;Informatique;700,50;140,10;840,60;perdu;rejete
26/01/2023;Informatique;9500,50;1900,10;11400,60;non;rejete
09/07/2022;Transport;90,50;18,10;108,60;perdu;valide
25/03/2022;Representation;3500,00;700,00;4200,00;perdu;en attente
12/06/2022;Representation;1800,99;360,20;2161,19;perdu;en attente
29/12/2022;Restaurant;100,00;20,00;120,00;non;en attente
25/06/2023;Restaurant;3608,50;721,70;4330,20;perdu;valide
13/12/2023;Transport;500,00;100,00;600,00;perdu;valide
24/04/2022;Restaurant;650,00;130,00;780,00;photo floue;rejete
17/10/2023;Taxi/VTC;500,00;100,00;600,00;perdu;rejete
13/11/2023;Formation;4500,00;900,00;5400,00;non;valide
14/12/2023;Informatique;500,00;100,00;600,00;perdu;valide
04/11/2022;Informatique;900,50;180,10;1080,60;non;valide
10/09/2022;Representation;900,00;180,00;1080,00;photo floue;en attente
22/12/2022;Hotel;8500,00;1700,00;10200,00;photo floue;valide
18/08/2023;Deplacement;5000,00;1000,00;6000,00;photo floue;valide
18/03/2022;Formation;3176,00;635,20;3811,20;photo floue;en attente
30/05/2023;Fournitures;3500,00;700,00;4200,00;photo floue;rejete
14/09/2023;Telecom;50,00;10,00;60,00;perdu;en attente
30/08/2023;Representation;750,00;150,00;900,00;perdu;valide
08/09/2022;Restaurant;3000,00;600,00;3600,00;non;rejete
28/07/2022;Hotel;950,00;190,00;1140,00;photo floue;rejete
01/05/2022;Hotel;9500,00;1900,00;11400,00;perdu;en attente
05/02/2022;Transport;450,99;90,20;541,19;perdu;rejete
30/04/2022;Transport;500,99;100,20;601,19;non;en attente
09/08/2022;Hotel;8000,00;1600,00;9600,00;perdu;rejete
23/07/2022;Formation;800,99;160,20;961,19;oui;en attente
24/05/2022;Hotel;2060,00;412,00;2472,00;oui;en attente
03/06/2022;Formation;800,99;160,20;961,19;photo floue;en attente
21/05/2023;Informatique;650,00;130,00;780,00;non;en attente
01/03/2022;Fournitures;600,99;120,20;721,19;photo floue;en attente
06/06/2023;Representation;500,00;100,00;600,00;non;valide
12/09/2022;Hotel;570,00;114,00;684,00;non;en attente
24/05/2023;Informatique;900,00;180,00;1080,00;perdu;valide
22/08/2023;Telecom;2961,00;592,20;3553,20;oui;en attente
20/08/2022;Representation;1190,50;238,10;1428,60;non;valide
08/03/2023;Representation;450,00;90,00;540,00;oui;rejete
07/04/2023;Telecom;7000,00;1400,00;8400,00;perdu;valide
29/12/2022;Fournitures;100,50;20,10;120,60;non;en attente
11/08/2022;Restaurant;2000,00;400,00;2400,00;photo floue;valide
01/05/2022;Representation;1379,00;275,80;1654,80;oui;en attente
18/11/2022;Telecom;9000,00;1800,00;10800,00;non;rejete
01/05/2023;Taxi/VTC;450,50;90,10;540,60;oui;rejete
13/03/2023;Restaurant;1982,99;396,60;2379,59;photo floue;en attente
15/05/2022;Restaurant;120,50;24,10;144,60;perdu;en attente
27/05/2022;Taxi/VTC;6000,50;1200,10;7200,60;non;en attente
11/03/2022;Hotel;2829,00;565,80;3394,80;oui;en attente
30/03/2022;Fournitures;4000,00;800,00;4800,00;non;rejete
03/10/2022;Formation;8000,99;1600,20;9601,19;non;rejete
12/01/2022;Informatique;4000,00;800,00;4800,00;non;en attente
24/10/2022;Restaurant;1999,99;400,00;2399,99;non;valide
31/07/2022;Formation;1500,00;300,00;1800,00;photo floue;rejete
11/12/2022;Deplacement;473,50;94,70;568,20;oui;en attente
15/08/2022;Hotel;4208,50;841,70;5050,20;photo floue;rejete
15/10/2022;Deplacement;5000,00;1000,00;6000,00;non;rejete
13/09/2023;Fournitures;2451,50;490,30;2941,80;perdu;valide
26/12/2023;Restaurant;3997,00;799,40;4796,40;non;en attente
11/11/2022;Hotel;2000,99;400,20;2401,19;perdu;en attente
15/08/2022;Taxi/VTC;95,50;19,10;114,60;photo floue;rejete
29/07/2022;Transport;2500,50;500,10;3000,60;non;valide
19/03/2022;Representation;500,50;100,10;600,60;perdu;valide
26/04/2022;Restaurant;900,50;180,10;1080,60;perdu;valide
05/04/2023;Transport;300,99;60,20;361,19;photo floue;en attente
15/12/2023;Taxi/VTC;150,00;30,00;180,00;perdu;rejete
23/12/2023;Formation;6000,00;1200,00;7200,00;oui;en attente
02/05/2022;Transport;2202,00;440,40;2642,40;non;en attente
10/08/2023;Representation;700,00;140,00;840,00;perdu;en attente
20/06/2022;Hotel;550,00;110,00;660,00;non;rejete
19/10/2022;Hotel;2500,99;500,20;3001,19;photo floue;rejete
14/05/2022;Taxi/VTC;80,00;16,00;96,00;non;rejete
20/04/2023;Formation;7000,99;1400,20;8401,19;oui;en attente
01/03/2022;Restaurant;1215,99;243,20;1459,19;perdu;valide
30/04/2023;Taxi/VTC;300,50;60,10;360,60;non;rejete
17/08/2022;Deplacement;800,00;160,00;960,00;perdu;rejete
09/08/2023;Taxi/VTC;5500,00;1100,00;6600,00;non;valide
20/03/2022;Transport;400,00;80,00;480,00;oui;en attente
20/05/2023;Transport;800,00;160,00;960,00;non;rejete
31/01/2022;Formation;3500,00;700,00;4200,00;oui;en attente
07/07/2022;Informatique;4278,00;855,60;5133,60;photo floue;valide
01/04/2023;Deplacement;1000,00;200,00;1200,00;photo floue;en attente
15/06/2023;Informatique;9999,00;1999,80;11998,80;non;en attente
01/03/2022;Fournitures;1404,00;280,80;1684,80;non;en attente
11/05/2023;Fournitures;6000,50;1200,10;7200,60;oui;rejete
28/10/2023;Restaurant;5000,99;1000,20;6001,19;oui;rejete
17/08/2023;Formation;700,00;140,00;840,00;non;rejete
10/08/2022;Hotel;700,00;140,00;840,00;photo floue;rejete
09/01/2022;Taxi/VTC;8000,00;1600,00;9600,00;photo floue;en attente
29/09/2023;Telecom;250,00;50,00;300,00;non;rejete
24/11/2023;Fournitures;1000,99;200,20;1201,19;photo floue;en attente
01/06/2023;Formation;5000,00;1000,00;6000,00;photo floue;valide
23/11/2023;Transport;5500,00;1100,00;6600,00;oui;valide
05/09/2023;Fournitures;3346,00;669,20;4015,20;perdu;en attente
15/10/2023;Informatique;1574,00;314,80;1888,80;non;valide
15/02/2023;Restaurant;600,00;120,00;720,00;photo floue;en attente
21/06/2023;Formation;2393,00;478,60;2871,60;perdu;valide
21/06/2022;Representation;300,50;60,10;360,60;non;rejete
05/06/2022;Telecom;9000,00;1800,00;10800,00;perdu;rejete
31/08/2022;Formation;150,00;30,00;180,00;perdu;en attente
27/02/2023;Hotel;1000,50;200,10;1200,60;photo floue;en attente
04/10/2023;Deplacement;150,00;30,00;180,00;perdu;rejete
16/01/2023;Taxi/VTC;588,00;117,60;705,60;oui;en attente
10/03/2023;Hotel;150,99;30,20;181,19;perdu;valide
09/10/2022;Transport;5000,99;1000,20;6001,19;photo floue;valide
18/03/2022;Fournitures;900,00;180,00;1080,00;oui;rejete
20/04/2022;Deplacement;1584,50;316,90;1901,40;oui;valide
12/02/2023;Informatique;750,00;150,00;900,00;oui;valide
29/03/2023;Telecom;800,99;160,20;961,19;non;valide
27/01/2023;Deplacement;1800,00;360,00;2160,00;oui;rejete
23/09/2022;Taxi/VTC;850,50;170,10;1020,60;oui;valide
12/08/2022;Transport;550,50;110,10;660,60;non;en attente
15/06/2022;Deplacement;600,00;120,00;720,00;perdu;valide
05/07/2023;Representation;800,00;160,00;960,00;perdu;rejete
08/12/2022;Deplacement;3000,00;600,00;3600,00;perdu;en attente
25/03/2022;Restaurant;2500,00;500,00;3000,00;non;rejete
23/02/2022;Formation;426,99;85,40;512,39;photo floue;valide
01/05/2023;Fournitures;850,00;170,00;1020,00;photo floue;rejete
19/07/2022;Formation;75,00;15,00;90,00;oui;en attente
31/08/2022;Fournitures;4372,00;874,40;5246,40;perdu;en attente
05/12/2022;Fournitures;750,99;150,20;901,19;non;valide
11/09/2023;Hotel;4000,00;800,00;4800,00;oui;rejete
02/07/2023;Hotel;800,99;160,20;961,19;photo floue;valide
22/01/2022;Telecom;4500,00;900,00;5400,00;oui;en attente
29/09/2022;Restaurant;500,00;100,00;600,00;perdu;en attente
14/02/2023;Deplacement;5000,00;1000,00;6000,00;photo floue;en attente
08/09/2023;Formation;1500,99;300,20;1801,19;photo floue;valide
10/04/2023;Transport;2500,00;500,00;3000,00;oui;rejete
28/01/2022;Fournitures;1500,00;300,00;1800,00;oui;rejete
27/11/2022;Taxi/VTC;450,50;90,10;540,60;perdu;valide
22/05/2023;Taxi/VTC;8000,50;1600,10;9600,60;non;en attente
01/07/2022;Representation;900,00;180,00;1080,00;oui;valide
02/08/2023;Taxi/VTC;7000,00;1400,00;8400,00;photo floue;rejete
02/10/2022;Hotel;1200,00;240,00;1440,00;photo floue;valide
23/10/2022;Informatique;5000,50;1000,10;6000,60;photo floue;en attente
29/10/2022;Transport;75,00;15,00;90,00;photo floue;en attente
07/02/2022;Fournitures;95,99;19,20;115,19;non;rejete
28/12/2023;Hotel;500,99;100,20;601,19;perdu;en attente
11/11/2022;Fournitures;50,00;10,00;60,00;perdu;rejete
05/11/2022;Transport;650,99;130,20;781,19;photo floue;en attente
21/11/2023;Telecom;1007,00;201,40;1208,40;perdu;rejete
04/10/2022;Transport;100,00;20,00;120,00;perdu;valide
